source,species
GBIF,Pungitius pungitius
GBIF,Raja brachyura
GBIF,Raja clavata
GBIF,Raja microocellata
GBIF,Raja miraletus
GBIF,Raja montagui
GBIF,Raja undulata
GBIF,Rajella bathyphila
GBIF,Rajella bigelowi
GBIF,Rajella fyllae
GBIF,Raniceps raninus
GBIF,Reinhardtius hippoglossoides
GBIF,Rhadinesthes decimus
GBIF,Rouleina attrita
GBIF,Rouleina maderensis
GBIF,Rutilus rutilus
GBIF,Sagamichthys schnakenbecki
GBIF,Salvelinus willoughbii
GBIF,Scardinius erythrophthalmus
GBIF,Schedophilus medusophagus
GBIF,Scomber scombrus
GBIF,Scopelogadus beanii
GBIF,Scopelogadus mizolepis
GBIF,Scopelosaurus lepidus
GBIF,Scophthalmus rhombus
GBIF,Scyliorhinus canicula
GBIF,Scyliorhinus stellaris
GBIF,Scymnodon ringens
GBIF,Searsia koefoedi
GBIF,Sebastes marinus
GBIF,Sebastes viviparus
GBIF,Serranus cabrilla
GBIF,Serrivomer beanii
GBIF,Sigmops bathyphilum
GBIF,Simenchelys parasitica
GBIF,Solea solea
GBIF,Solea vulgaris
GBIF,Somniosus rostratus
GBIF,Spectrunculus grandis
GBIF,Sphoeroides pachygaster
GBIF,Spinachia spinachia
GBIF,Spondyliosoma cantharus
GBIF,Sprattus sprattus
GBIF,Squalius cephalus
GBIF,Squalus acanthias
GBIF,Squalus vulgaris
GBIF,Squatina squatina
GBIF,Stomias boa
GBIF,Symbolophorus veranyi
GBIF,Symphodus melops
GBIF,Synaphobranchus kaupii
GBIF,Syngnathus acus
GBIF,Syngnathus rostellatus
GBIF,Taurulus bubalis
GBIF,Thorogobius ephippiatus
GBIF,Tinca tinca
GBIF,Torpedo marmorata
GBIF,Trachinus draco
GBIF,Trachipterus arcticus
GBIF,Trachurus trachurus
GBIF,Trachyrincus murrayi
GBIF,Trachyrincus scabrus
GBIF,Trachyrincus trachyrincus
GBIF,Trachyscorpia cristulata
GBIF,Trigla lyra
GBIF,Trigloporus lastoviza
GBIF,Triglops murrayi
GBIF,Trigonolampa miriceps
GBIF,Trisopterus esmarkii
GBIF,Trisopterus luscus
GBIF,Trisopterus minutus
GBIF,Xenodermichthys copei
GBIF,Xenodermichthys socialis
GBIF,Zeugopterus regius
GBIF,Zeus faber
GBIF,Zoarces viviparus
common,Agonus cataphractus
common,Alopias vulpinus
common,Amblyraja radiata
common,Ammodytes marinus
common,Ammodytes tobianus
common,Anguilla anguilla
common,Aphia minuta
common,Apletodon dentatus
common,Balistes capriscus
common,Belone belone
common,Blennius ocellaris
common,Buglossidium luteum
common,Callionymus lyra
common,Cetorhinus maximus
common,Chelidonichthys cuculus
common,Chelidonichthys lucerna
common,Chelon labrosus
common,Chirolophis ascanii
common,Ciliata mustela
common,Clupea harengus
common,Conger conger
common,Coryphoblennius galerita
common,Ctenolabrus rupestris
common,Cyclopterus lumpus
common,Dasyatis pastinaca
common,Dicentrarchus labrax
common,Diplecogaster bimaculata
common,Dipturus batis
common,Echiichthys vipera
common,Enchelyopus cimbrius
common,Engraulis encrasicolus
common,Entelurus aequoreus
common,Eutrigla gurnardus
common,Gadus morhua
common,Gaidropsarus mediterraneus
common,Gaidropsarus vulgaris
common,Galeorhinus galeus
common,Gasterosteus aculeatus
common,Glyptocephalus cynoglossus
common,Gobius cobitis
common,Gobius niger
common,Gobius paganellus
common,Gobiusculus flavescens
common,Hippocampus guttulatus
common,Hippocampus hippocampus
common,Hippoglossus hippoglossus
common,Hyperoplus lanceolatus
common,Labrus bergylta
common,Labrus mixtus
common,Lamna nasus
common,Lepadogaster candolii
common,Lepidorhombus whiffiagonis
common,Lesueurigobius friesii
common,Leucoraja naevus
common,Limanda limanda
common,Liparis liparis
common,Liparis montagui
common,Lipophrys pholis
common,Liza aurata
common,Liza ramada
common,Lophius piscatorius
common,Lumpenus lampretaeformis
common,Melanogrammus aeglefinus
common,Merlangius merlangus
common,Merluccius merluccius
common,Micromesistius poutassou
common,Microstomus kitt
common,Molva molva
common,Mullus barbatus
common,Mullus surmuletus
common,Mustelus asterias
common,Myoxocephalus scorpius
common,Nerophis lumbriciformis
common,Nerophis ophidion
common,Osmerus eperlanus
common,Parablennius gattorugine
common,Pegusa lascaris
common,Pholis gunnellus
common,Platichthys flesus
common,Pleuronectes platessa
common,Pollachius pollachius
common,Pollachius virens
common,Pomatoschistus microps
common,Pomatoschistus minutus
common,Pomatoschistus pictus
common,Prionace glauca
common,Raja brachyura
common,Raja clavata
common,Raja microocellata
common,Raja montagui
common,Raja undulata
common,Salmo trutta
common,Sardina pilchardus
common,Scomber scombrus
common,Scophthalmus maximus
common,Scophthalmus rhombus
common,Scyliorhinus canicula
common,Scyliorhinus stellaris
common,Solea solea
common,Spinachia spinachia
common,Spondyliosoma cantharus
common,Sprattus sprattus
common,Squalus acanthias
common,Symphodus melops
common,Syngnathus acus
common,Syngnathus rostellatus
common,Syngnathus typhle
common,Taurulus bubalis
common,Thorogobius ephippiatus
common,Trachinus draco
common,Trachurus trachurus
common,Trisopterus luscus
common,Trisopterus minutus
common,Zeugopterus punctatus
common,Zeus faber
common,Zoarces viviparus
common,Abramis brama
common,Alburnus alburnus
common,Alosa alosa
common,Atherina presbyter
common,Atherina boyeri
common,Barbatula barbatula
common,Barbus barbus
common,Carassius auratus
common,Carassius carassius
common,Cottus gobio
common,Cyprinus carpio
common,Esox lucius
common,Gobio gobio
common,Gymnocephalus cernua
common,Lampetra fluviatilis
common,Lampetra planeri
common,Leuciscus idus
common,Leuciscus leuciscus
common,Oncorhynchus mykiss
common,Perca fluviatilis
common,Petromyzon marinus
common,Phoxinus phoxinus
common,Pseudorasbora parva
common,Pungitius pungitius
common,Rutilus rutilus
common,Salmo salar
common,Sander lucioperca
common,Scardinius erythrophthalmus
common,Silurus glanis
common,Squalius cephalus
common,Thymallus thymallus
common,Tinca tinca
common,Gadiculus argenteus
common,Trisopterus esmarkii
common,Ciliata septentrionalis
common,Lepadogaster lepadogaster
common,Gymnammodytes semisquamatus
common,Hyperoplus immaculatus
common,Callionymus maculatus
common,Callionymus reticulatus
common,Capros aper
common,Cepola macrophthalma
common,Pomatoschistus lozanoi
common,Pomatoschistus norvegicus
common,Symphodus bailloni
common,Sparus aurata
common,Arnoglossus laterna
common,Phrynorhombus norvegicus
common,Microchirus variegatus
common,Trigloporus lastoviza
common,Mola mola
common,Centrolabrus exoletus
common,Pagellus bogaraveo
common,Zeugopterus regius
common,Micrenophrys lilljeborgii
common,Pagrus pagrus
