source,species
FishBase,Lepidorhombus whiffiagonis
FishBase,Lepomis gibbosus
FishBase,Leptoclinus maculatus
FishBase,Lesueurigobius friesii
FishBase,Leucaspius delineatus
FishBase,Leuciscus idus
FishBase,Leuciscus leuciscus
FishBase,Leucoraja circularis
FishBase,Leucoraja fullonica
FishBase,Leucoraja naevus
FishBase,Limanda limanda
FishBase,Liparis liparis
FishBase,Liparis montagui
FishBase,Lipophrys pholis
FishBase,Lophius budegassa
FishBase,Lophius piscatorius
FishBase,Lota lota
FishBase,Lumpenus lampretaeformis
FishBase,Luvarus imperialis
FishBase,Lycenchelys sarsii
FishBase,Lycodes esmarkii
FishBase,Macroramphosus scolopax
FishBase,Macrourus berglax
FishBase,Magnisudis atlantica
FishBase,Malacocephalus laevis
FishBase,Maurolicus muelleri
FishBase,Melanogrammus aeglefinus
FishBase,Merlangius merlangus
FishBase,Merluccius merluccius
FishBase,Micrenophrys lilljeborgii
FishBase,Microchirus azevia
FishBase,Microchirus theophila
FishBase,Microchirus variegatus
FishBase,Micromesistius poutassou
FishBase,Microstomus kitt
FishBase,Misgurnus fossilis
FishBase,Mobula mobular
FishBase,Mola mola
FishBase,Molva dypterygia
FishBase,Molva macrophthalma
FishBase,Molva molva
FishBase,Mora moro
FishBase,Mugil cephalus
FishBase,Mullus barbatus barbatus
FishBase,Mullus surmuletus
FishBase,Muraena helena
FishBase,Mustelus asterias
FishBase,Mustelus mustelus
FishBase,Myctophum punctatum
FishBase,Myliobatis aquila
FishBase,Myoxocephalus scorpius
FishBase,Myxine glutinosa
FishBase,Narcetes stomias
FishBase,Naucrates ductor
FishBase,Nemichthys scolopaceus
FishBase,Nerophis lumbriciformis
FishBase,Nerophis ophidion
FishBase,Nesiarchus nasutus
FishBase,Nezumia aequalis
FishBase,Normichthys operosus
FishBase,Notacanthus bonaparte
FishBase,Notacanthus chemnitzii
FishBase,Notolychnus valdiviae
FishBase,Oncorhynchus gorbuscha
FishBase,Oncorhynchus mykiss
FishBase,Ophidion barbatum
FishBase,Orcynopsis unicolor
FishBase,Oreochromis niloticus
FishBase,Osmerus eperlanus
FishBase,Oxynotus centrina
FishBase,Oxynotus paradoxus
FishBase,Pagellus acarne
FishBase,Pagellus bogaraveo
FishBase,Pagellus erythrinus
FishBase,Pagrus pagrus
FishBase,Parablennius gattorugine
FishBase,Paralepis coregonoides
FishBase,Pegusa lascaris
FishBase,Perca fluviatilis
FishBase,Peristedion cataphractum
FishBase,Petromyzon marinus
FishBase,Pholis gunnellus
FishBase,Phoxinus phoxinus
FishBase,Phrynorhombus norvegicus
FishBase,Phycis blennoides
FishBase,Pimephales promelas
FishBase,Platichthys flesus
FishBase,Pleuronectes platessa
FishBase,Poecilia reticulata
FishBase,Pollachius pollachius
FishBase,Pollachius virens
FishBase,Polyprion americanus
FishBase,Pomatoschistus lozanoi
FishBase,Pomatoschistus microps
FishBase,Pomatoschistus minutus
FishBase,Pomatoschistus norvegicus
FishBase,Pomatoschistus pictus
FishBase,Poromitra nigriceps
FishBase,Prionace glauca
FishBase,Pseudorasbora parva
FishBase,Pseudotriakis microdon
FishBase,Pteroplatytrygon violacea
FishBase,Pterycombus brama
FishBase,Pungitius laevis
FishBase,Pungitius pungitius
FishBase,Raja brachyura
FishBase,Raja clavata
FishBase,Raja microocellata
FishBase,Raja montagui
FishBase,Raja undulata
FishBase,Rajella fyllae
FishBase,Raniceps raninus
FishBase,Ranzania laevis
FishBase,Regalecus glesne
FishBase,Reinhardtius hippoglossoides
FishBase,Remora remora
FishBase,Rhinochimaera atlantica
FishBase,Rhodeus amarus
FishBase,Rhodeus sericeus
FishBase,Rostroraja alba
FishBase,Rouleina attrita
FishBase,Rouleina maderensis
FishBase,Rutilus rutilus
FishBase,Ruvettus pretiosus
FishBase,Sagamichthys schnakenbecki
FishBase,Salmo ferox
FishBase,Salmo nigripinnis
FishBase,Salmo salar
FishBase,Salmo stomachicus
FishBase,Salmo trutta
FishBase,Salvelinus alpinus
FishBase,Salvelinus fontinalis
FishBase,Salvelinus gracillimus
FishBase,Salvelinus inframundus
FishBase,Salvelinus killinensis
FishBase,Salvelinus lonsdalii
FishBase,Salvelinus mallochi
FishBase,Salvelinus maxillaris
FishBase,Salvelinus obtusus
FishBase,Salvelinus perisii
FishBase,Salvelinus struanensis
FishBase,Salvelinus willoughbii
FishBase,Salvelinus youngeri
FishBase,Sander lucioperca
FishBase,Sarda sarda
FishBase,Sardina pilchardus
FishBase,Sarpa salpa
FishBase,Scardinius erythrophthalmus
FishBase,Schedophilus medusophagus
FishBase,Scomber scombrus
FishBase,Scomberesox saurus
FishBase,Scopelosaurus lepidus
FishBase,Scophthalmus maximus
FishBase,Scophthalmus rhombus
FishBase,Scorpaena porcus
FishBase,Scorpaena scrofa
FishBase,Scyliorhinus canicula
FishBase,Scyliorhinus stellaris
FishBase,Scymnodon ringens
FishBase,Searsia koefoedi
FishBase,Sebastes norvegicus
FishBase,Sebastes viviparus
FishBase,Seriola dumerili
FishBase,Serranus cabrilla
FishBase,Silurus glanis
FishBase,Solea solea
FishBase,Somniosus microcephalus
FishBase,Sparus aurata
FishBase,Spectrunculus grandis
FishBase,Sphoeroides pachygaster
FishBase,Sphyrna zygaena
FishBase,Spinachia spinachia
FishBase,Spondyliosoma cantharus
FishBase,Sprattus sprattus
FishBase,Squalius cephalus
FishBase,Squalus acanthias
FishBase,Squatina squatina
FishBase,Sternoptyx diaphana
FishBase,Stomias boa ferox
FishBase,Symbolophorus veranyi
FishBase,Symphodus bailloni
FishBase,Symphodus melops
FishBase,Syngnathus acus
FishBase,Syngnathus rostellatus
FishBase,Syngnathus typhle
FishBase,Taractes asper
FishBase,Taractichthys longipinnis
FishBase,Taurulus bubalis
FishBase,Tetronarce nobiliana
FishBase,Thorogobius ephippiatus
FishBase,Thunnus alalunga
FishBase,Thunnus albacares
FishBase,Thunnus thynnus
FishBase,Thymallus thymallus
FishBase,Tinca tinca
FishBase,Torpedo marmorata
FishBase,Trachinotus ovatus
FishBase,Trachinus draco
FishBase,Trachipterus arcticus
FishBase,Trachurus trachurus
FishBase,Trachyrincus scabrus
FishBase,Trachyscorpia cristulata echinata
FishBase,Trichiurus lepturus
FishBase,Trigla lyra
FishBase,Triglops murrayi
FishBase,Tripterygion delaisi
FishBase,Trisopterus esmarkii
FishBase,Trisopterus luscus
FishBase,Trisopterus minutus
FishBase,Umbrina cirrosa
FishBase,Xenodermichthys copei
FishBase,Xiphias gladius
FishBase,Zameus squamulosus
FishBase,Zeugopterus punctatus
FishBase,Zeugopterus regius
FishBase,Zeus faber
FishBase,Zoarces viviparus
